,Profile_Category_Accessibility_Count,Profile_Category_Bathroom_Personal_Count,Profile_Category_Bedding_Comfort_Count,Profile_Category_Business_Work_Count,Profile_Category_Climate_Control_Count,Profile_Category_Essential_Tech_Count,Profile_Category_Kitchen_Dining_Count,Profile_Category_Outdoor_Recreation_Count,Profile_Category_Safety_Security_Count,Profile_Category_Transportation_Count,Profile_Category_Family_Pets_Count,price,log_price,longitude,latitude
2618,0,0,0,2,1,1,1,0,6,0,0,285.0,5.652489180268651,114.1171496,22.22933611
2619,0,1,0,1,1,1,1,0,1,1,0,882.0,6.782192056006791,114.12689,22.28386
2620,0,1,1,1,1,1,2,2,0,0,0,454.0,6.118097198041348,114.1738698,22.2980438
2621,0,5,3,2,1,1,7,4,2,0,0,218.0,5.384495062789089,114.1292156,22.28362591
2622,1,3,2,2,1,0,3,0,5,0,0,252.0,5.529429087511423,114.17271,22.3065
2623,0,0,0,2,1,1,1,0,1,1,0,2070.0,7.635303886259415,114.2711326,22.3814116
2624,0,0,0,1,1,1,1,1,3,0,1,1080.0,6.984716320118266,114.1429323,22.2844988
2625,0,3,1,2,1,1,5,0,1,0,0,714.0,6.570882962339584,114.1482744,22.28540655
2626,0,0,0,2,1,1,1,1,1,0,0,1142.0,7.040536390215956,114.15394,22.28577
2627,0,2,4,2,1,2,3,2,3,0,1,1060.0,6.966024187106113,114.0289946,22.21255691
2628,1,5,2,2,1,1,8,0,1,2,0,318.0,5.762051382780177,114.1941013,22.28911689
2629,0,0,0,1,1,1,0,0,4,0,0,251.0,5.5254529391317835,114.17231,22.29729
2630,0,4,1,1,1,0,1,0,0,0,0,706.0,6.559615237493242,114.15149,22.2843
2631,0,3,2,2,1,1,5,0,1,0,0,883.0,6.78332520060396,114.1526729,22.28143955
2632,0,5,0,2,1,0,0,0,2,1,1,700.0,6.551080335043404,114.15018,22.2833
2633,1,2,0,2,1,1,6,3,3,1,0,765.0,6.639875833826536,114.1613838,22.3200903
2634,1,4,2,2,2,1,7,0,1,0,1,900.0,6.802394763324311,114.17547,22.30213
